Date,high,low,open,close,volume,Adj Close
2016-02-19,14395.849609375,14207.349609375,14243.4501953125,14344.2001953125,96300.0,14344.2001953125
2016-02-25,13844.4501953125,13519.900390625,13844.4501953125,13555.7001953125,104600.0,13555.7001953125
2016-04-04,16278.5,16046.5,16236.900390625,16190.599609375,70300.0,16190.599609375
2016-05-25,17025.849609375,16599.05078125,16600.650390625,16997.44921875,83900.0,16997.44921875
2016-06-06,17754.150390625,17636.900390625,17710.44921875,17671.400390625,78900.0,17671.400390625
2016-06-10,18051.5,17815.25,17830.19921875,17828.599609375,91400.0,17828.599609375
2016-07-28,19126.75,18998.80078125,19050.400390625,19076.55078125,146300.0,19076.55078125
2016-11-10,20200.25,20200.25,20200.25,20200.25,0.0,20200.25
2016-12-12,18616.05078125,18364.05078125,18616.05078125,18392.94921875,0.0,18392.94921875
2016-12-13,18492.849609375,18291.349609375,18354.099609375,18466.05078125,0.0,18466.05078125
2016-12-14,18485.44921875,18322.900390625,18480.349609375,18341.5,0.0,18341.5
2016-12-15,18532.0,18122.099609375,18143.5,18401.150390625,0.0,18401.150390625
2016-12-16,18428.44921875,18268.30078125,18417.900390625,18312.80078125,0.0,18312.80078125
2016-12-19,18316.80078125,18215.5,18258.099609375,18257.05078125,0.0,18257.05078125
2016-12-20,18274.900390625,18009.80078125,18264.099609375,18069.400390625,0.0,18069.400390625
2016-12-21,18167.150390625,18043.94921875,18124.599609375,18084.5,0.0,18084.5
2016-12-22,18029.599609375,17839.75,18027.0,17891.44921875,0.0,17891.44921875
2016-12-23,17962.30078125,17819.75,17849.25,17884.0,0.0,17884.0
2016-12-27,17907.349609375,17616.099609375,17677.69921875,17879.55078125,0.0,17879.55078125
2016-12-28,18059.650390625,17829.150390625,17929.19921875,17876.69921875,0.0,17876.69921875
2016-12-29,18053.30078125,17829.400390625,17861.44921875,18033.150390625,0.0,18033.150390625
2016-12-30,18245.75,18016.80078125,18026.349609375,18177.19921875,0.0,18177.19921875
2017-01-03,18115.05078125,17830.94921875,18002.75,18035.599609375,0.0,18035.599609375
2017-01-04,18092.849609375,17868.900390625,18037.44921875,17891.0,0.0,17891.0
2017-01-05,18164.05078125,17977.80078125,18000.75,18115.94921875,0.0,18115.94921875
