Date,high,low,open,close,volume,Adj Close
2019-06-18,30550.650390625,30222.849609375,30299.44921875,30351.0,0.0,30351.0
2019-06-19,30699.150390625,30242.0,30526.5,30362.099609375,0.0,30362.099609375
2019-06-20,30824.55078125,30220.69921875,30390.19921875,30781.099609375,0.0,30781.099609375
2019-06-21,30804.94921875,30541.5,30804.94921875,30628.349609375,0.0,30628.349609375
2019-06-24,30783.650390625,30528.0,30680.94921875,30602.05078125,0.0,30602.05078125
2019-06-25,30913.25,30451.400390625,30567.650390625,30847.05078125,0.0,30847.05078125
2019-06-26,31202.69921875,30766.650390625,30809.19921875,31162.349609375,0.0,31162.349609375
2019-06-27,31490.599609375,31158.80078125,31192.099609375,31269.5,0.0,31269.5
2019-06-28,31308.900390625,31060.599609375,31281.0,31105.19921875,0.0,31105.19921875
2019-07-01,31449.650390625,31247.44921875,31271.0,31372.19921875,0.0,31372.19921875
2019-07-02,31431.349609375,31105.099609375,31414.650390625,31283.30078125,0.0,31283.30078125
2019-07-03,31466.349609375,31242.099609375,31347.69921875,31382.30078125,0.0,31382.30078125
2019-07-04,31608.349609375,31428.05078125,31471.0,31471.849609375,242986000.0,31471.849609375
2019-07-05,31660.75,31323.25,31523.05078125,31475.80078125,0.0,31475.80078125
2019-07-08,31346.849609375,30538.55078125,31346.849609375,30603.849609375,0.0,30603.849609375
2019-07-09,30702.05078125,30348.849609375,30533.400390625,30569.150390625,0.0,30569.150390625
2019-07-10,30728.349609375,30431.25,30618.05078125,30522.099609375,0.0,30522.099609375
2019-07-11,30787.0,30566.099609375,30707.0,30716.55078125,0.0,30716.55078125
2019-07-12,30861.400390625,30550.75,30789.75,30601.44921875,0.0,30601.44921875
2019-07-15,30688.849609375,30334.650390625,30688.849609375,30445.94921875,0.0,30445.94921875
2019-07-16,30632.150390625,30430.150390625,30532.650390625,30570.80078125,0.0,30570.80078125
2019-07-17,30799.30078125,30570.05078125,30622.25,30735.5,0.0,30735.5
2019-07-18,30768.099609375,30379.0,30705.80078125,30430.599609375,0.0,30430.599609375
2019-07-19,30537.650390625,29705.900390625,30515.099609375,29770.349609375,0.0,29770.349609375
2019-07-22,29635.150390625,29194.099609375,29617.05078125,29284.94921875,339800.0,29284.94921875
2019-07-23,29364.400390625,29078.80078125,29342.44921875,29128.099609375,0.0,29128.099609375
2019-07-24,29250.75,28872.30078125,29085.44921875,28952.25,0.0,28952.25
2019-07-25,29240.80078125,28931.05078125,28981.05078125,29043.05078125,0.0,29043.05078125
2019-07-26,29377.599609375,28999.55078125,29062.5,29325.30078125,0.0,29325.30078125
2019-07-29,29583.44921875,29106.75,29583.44921875,29295.900390625,0.0,29295.900390625
2019-07-30,29528.30078125,28739.5,29434.849609375,28791.599609375,0.0,28791.599609375
2019-07-31,28974.19921875,28537.0,28575.44921875,28876.0,0.0,28876.0
2019-08-01,28819.69921875,28047.349609375,28660.5,28367.25,0.0,28367.25
2019-08-02,28541.19921875,27937.55078125,28224.25,28204.94921875,310300.0,28204.94921875
2019-08-05,27866.55078125,27389.5,27841.19921875,27648.05078125,0.0,27648.05078125
2019-08-06,28147.400390625,27518.5,27518.5,28022.099609375,0.0,28022.099609375
2019-08-07,28175.55078125,27641.849609375,28053.849609375,27702.05078125,0.0,27702.05078125
2019-08-08,28225.0,27531.94921875,27840.099609375,28110.44921875,0.0,28110.44921875
2019-08-09,28602.19921875,28254.69921875,28293.650390625,28431.900390625,0.0,28431.900390625
2019-08-13,28358.849609375,27683.5,28356.80078125,27729.099609375,0.0,27729.099609375
2019-08-14,28104.599609375,27729.400390625,27885.5,28019.19921875,0.0,28019.19921875
2019-08-16,28250.150390625,27720.94921875,27920.30078125,28217.0,0.0,28217.0
2019-08-19,28468.900390625,28146.5,28331.25,28186.099609375,0.0,28186.099609375
2019-08-20,28038.599609375,27864.599609375,28029.80078125,27982.44921875,0.0,27982.44921875
2019-08-21,28098.900390625,27666.19921875,28021.0,27719.05078125,0.0,27719.05078125
2019-08-22,27690.05078125,26975.55078125,27690.05078125,27034.19921875,0.0,27034.19921875
2019-08-23,27207.30078125,26560.599609375,26835.349609375,26958.650390625,0.0,26958.650390625
2019-08-26,27995.25,26859.349609375,27663.94921875,27951.349609375,0.0,27951.349609375
2019-08-27,28277.69921875,27960.80078125,28106.30078125,28126.150390625,0.0,28126.150390625
2019-08-28,28095.55078125,27634.650390625,28080.25,27804.30078125,0.0,27804.30078125
2019-08-29,27719.05078125,27239.94921875,27694.94921875,27305.19921875,0.0,27305.19921875
2019-08-30,27586.5,27121.94921875,27407.900390625,27427.849609375,0.0,27427.849609375
2019-09-03,27247.05078125,26742.599609375,27239.19921875,26824.150390625,0.0,26824.150390625
2019-09-04,27278.69921875,26641.349609375,26785.94921875,27123.849609375,0.0,27123.849609375
2019-09-05,27243.94921875,26815.400390625,27086.94921875,26919.69921875,0.0,26919.69921875
2019-09-06,27311.05078125,26950.55078125,26986.5,27247.900390625,0.0,27247.900390625
2019-09-09,27565.55078125,26993.900390625,27240.349609375,27504.650390625,0.0,27504.650390625
2019-09-11,27829.650390625,27551.650390625,27639.05078125,27776.19921875,0.0,27776.19921875
2019-09-12,28062.30078125,27764.69921875,27870.80078125,27818.5,0.0,27818.5
2019-09-13,28126.849609375,27573.44921875,27772.0,28098.75,0.0,28098.75
2019-09-16,28066.69921875,27798.849609375,27868.0,27855.0,0.0,27855.0
2019-09-17,27851.400390625,27047.94921875,27765.099609375,27131.75,0.0,27131.75
2019-09-18,27414.44921875,27088.80078125,27304.69921875,27172.650390625,0.0,27172.650390625
2019-09-19,27175.44921875,26643.0,27175.44921875,26757.650390625,0.0,26757.650390625
2019-09-20,29418.94921875,26727.55078125,26878.650390625,28981.55078125,0.0,28981.55078125
2019-09-23,30801.30078125,29776.30078125,30039.400390625,30566.19921875,0.0,30566.19921875
2019-09-24,30668.099609375,29889.55078125,30432.0,30183.099609375,0.0,30183.099609375
2019-09-25,30067.599609375,29470.099609375,30029.05078125,29586.05078125,0.0,29586.05078125
2019-09-26,30718.349609375,29627.0,29640.55078125,30002.599609375,0.0,30002.599609375
2019-09-27,30112.650390625,29711.349609375,29974.94921875,29876.650390625,0.0,29876.650390625
2019-09-30,29754.400390625,28943.44921875,29674.80078125,29103.150390625,0.0,29103.150390625
2019-10-01,29526.400390625,28077.349609375,29226.150390625,28725.5,1187300.0,28725.5
2019-10-03,28769.099609375,28240.80078125,28606.69921875,28414.099609375,0.0,28414.099609375
2019-10-04,28730.30078125,27653.69921875,28681.900390625,27731.849609375,0.0,27731.849609375
2019-10-07,28185.150390625,27568.349609375,27909.900390625,27767.55078125,0.0,27767.55078125
2019-10-09,28857.69921875,27702.05078125,27901.650390625,28785.849609375,0.0,28785.849609375
